Total_loss: 5.725956153869629	 Hash_loss: 5.479252433776855	 Classsifier_loss: 0.9537026107311248	 Entropy_loss: -2.301474952697754
Total_loss: 5.725208711624146	 Hash_loss: 5.478529167175293	 Classsifier_loss: 0.9536544740200043	 Entropy_loss: -2.301476836204529
Total_loss: 5.726938486099243	 Hash_loss: 5.479964733123779	 Classsifier_loss: 0.9542426526546478	 Entropy_loss: -2.301475715637207
Total_loss: 5.72526741027832	 Hash_loss: 5.478573989868164	 Classsifier_loss: 0.9536813199520111	 Entropy_loss: -2.3014721393585207
Total_loss: 5.726149320602417	 Hash_loss: 5.479389381408692	 Classsifier_loss: 0.9538150668144226	 Entropy_loss: -2.3014753818511964
Total_loss: 5.726700162887573	 Hash_loss: 5.479410791397095	 Classsifier_loss: 0.9548715114593506	 Entropy_loss: -2.301463508605957
Total_loss: 5.728918170928955	 Hash_loss: 5.480862617492676	 Classsifier_loss: 0.9564059257507325	 Entropy_loss: -2.3014742612838743
Total_loss: 5.728158807754516	 Hash_loss: 5.480596590042114	 Classsifier_loss: 0.9554198741912842	 Entropy_loss: -2.3014771699905396
Total_loss: 5.72761902809143	 Hash_loss: 5.480219602584839	 Classsifier_loss: 0.9550940454006195	 Entropy_loss: -2.30147647857666
Total_loss: 5.728116703033447	 Hash_loss: 5.480520820617675	 Classsifier_loss: 0.9554859876632691	 Entropy_loss: -2.3014705181121826
Total_loss: 5.730328798294067	 Hash_loss: 5.481828117370606	 Classsifier_loss: 0.9572967886924744	 Entropy_loss: -2.3014759540557863
Total_loss: 5.726810598373413	 Hash_loss: 5.479918098449707	 Classsifier_loss: 0.9540793240070343	 Entropy_loss: -2.3014721632003785
Total_loss: 5.724626874923706	 Hash_loss: 5.478577995300293	 Classsifier_loss: 0.9523924827575684	 Entropy_loss: -2.3014734029769897
Total_loss: 5.724545669555664	 Hash_loss: 5.478723764419556	 Classsifier_loss: 0.9519369900226593	 Entropy_loss: -2.3014664173126222
Total_loss: 5.724435329437256	 Hash_loss: 5.478434133529663	 Classsifier_loss: 0.9522966384887696	 Entropy_loss: -2.3014705896377565
Total_loss: 5.725135707855225	 Hash_loss: 5.478996276855469	 Classsifier_loss: 0.952573823928833	 Entropy_loss: -2.301474857330322
Total_loss: 5.726529264450074	 Hash_loss: 5.480465412139893	 Classsifier_loss: 0.9524215698242188	 Entropy_loss: -2.301470160484314
